reference,objet_marche,budget,date_publication,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_administratif,documents_technique,documents_financier,conditions_participation,chef_mission_diplome,chef_mission_experience,chef_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025-7362,Fourniture de véhicules administratifs,45 702 412 DH,2025-08-09,Barid Al-Maghrib,"rue Imbert, Fès",+33 1 49 20 14 06,03 55 67 43 48,84 jours,23 jours,61 jours,Attestation CNSS; Caution provisoire; Certificat de qualification et classification,Attestations de formation; Certificats de conformité; Références similaires; CV des intervenants; Planning d'exécution,Bordereau des prix unitaires; Attestation bancaire; Devis quantitatif et estimatif,Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé; Disposer d'un personnel qualifié,Ingénieur d'État,9 ans,Management d'équipe; Planification; Analyse technique; Expertise sectorielle; Audit technique,Doctorat,12 ans,Management d'équipe; Expertise sectorielle; Planification; Gestion de projet,Doctorat,16 ans,Planification; Expertise sectorielle; Contrôle qualité; Normes ISO; Management d'équipe,66%,34%,60%,66%,34%,True,www.marchespublics.gov.ma
AO-2025-5281,Fourniture et installation de matériel informatique,20 745 109 DH,2025-08-02,Barid Al-Maghrib,"38, rue Gauthier, Casablanca",04 84 52 45 12,+33 (0)3 57 19 92 00,155 jours,61 jours,94 jours,Caution provisoire; Procuration (si applicable); Certificat de qualification et classification; Attestation fiscale,CV des intervenants; Certificats de conformité; Planning d'exécution; Références similaires; Note technique détaillée,Bilan des 3 dernières années; Attestation bancaire; Acte d'engagement; Chiffre d'affaires des 3 dernières années,Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé,Master spécialisé,6 ans,Audit technique; Planification; Expertise sectorielle,Ingénieur d'État,12 ans,Normes ISO; Audit technique; Planification; Expertise sectorielle; Formation,Ingénieur d'État,7 ans,Management d'équipe; Expertise sectorielle; Gestion de projet,60%,40%,60%,60%,40%,True,www.marchespublics.gov.ma
AO-2025-8439,Services de sécurité et gardiennage,29 464 233 DH,2025-08-01,Royal Air Maroc,"78, chemin Aurore Pichon, Oujda",+33 1 88 87 45 21,+33 (0)5 87 29 21 75,346 jours,108 jours,238 jours,Attestation fiscale; Certificat de qualification et classification; Caution provisoire; Attestation CNSS; Procuration (si applicable),Références similaires; Note technique détaillée; Certificats de conformité; CV des intervenants; Planning d'exécution,Acte d'engagement; Bordereau des prix unitaires; Attestation bancaire; Devis quantitatif et estimatif,Être en règle avec les obligations fiscales; Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce,Master spécialisé,10 ans,Analyse technique; Management d'équipe; Formation; Contrôle qualité,Master spécialisé,9 ans,Normes ISO; Formation; Audit technique,Doctorat,6 ans,Normes ISO; Planification; Audit technique,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-3577,Travaux de rénovation de bâtiments,32 311 140 DH,2025-07-24,Office National des Chemins de Fer,"99, avenue Madeleine Pinto, Rabat",+33 3 60 71 85 07,02 49 94 25 48,121 jours,36 jours,85 jours,Attestation CNSS; Registre de commerce; Caution provisoire; Attestation fiscale,Certificats de conformité; Attestations de formation; Planning d'exécution; Note technique détaillée; Références similaires,Acte d'engagement; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif,Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum,Diplôme d'ingénieur,7 ans,Formation; Audit technique; Gestion de projet,MBA,6 ans,Normes ISO; Management d'équipe; Analyse technique,Doctorat,20 ans,Planification; Normes ISO; Formation; Gestion de projet; Contrôle qualité,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-4481,Fourniture et installation de matériel informatique,3 965 377 DH,2025-08-06,Ministère de l'Intérieur,"boulevard Delmas, Casablanca",+33 2 51 96 86 13,03 51 03 70 99,88 jours,39 jours,49 jours,Attestation fiscale; Attestation CNSS; Procuration (si applicable),Attestations de formation; Certificats de conformité; Note technique détaillée,Bordereau des prix unitaires; Devis quantitatif et estimatif; Bilan des 3 dernières années,Justifier d'une expérience de 5 ans minimum; Disposer d'un personnel qualifié; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales,MBA,14 ans,Audit technique; Planification; Contrôle qualité,Ingénieur d'État,20 ans,Formation; Normes ISO; Expertise sectorielle,Master spécialisé,5 ans,Gestion de projet; Normes ISO; Formation; Planification; Contrôle qualité,77%,23%,60%,77%,23%,True,www.marchespublics.gov.ma
AO-2025-7581,Travaux de construction d'un centre de santé,41 921 479 DH,2025-08-01,Royal Air Maroc,"98, chemin de Hernandez, Agadir",+33 2 36 36 76 80,+33 (0)4 70 97 25 96,211 jours,102 jours,109 jours,Attestation CNSS; Caution provisoire; Registre de commerce; Procuration (si applicable),Attestations de formation; Certificats de conformité; Références similaires; Planning d'exécution; Note technique détaillée,Acte d'engagement; Chiffre d'affaires des 3 dernières années; Attestation bancaire; Bilan des 3 dernières années,Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Être inscrit au registre de commerce,MBA,11 ans,Expertise sectorielle; Gestion de projet; Audit technique; Formation; Analyse technique,MBA,5 ans,Contrôle qualité; Normes ISO; Expertise sectorielle; Management d'équipe,Master spécialisé,18 ans,Planification; Gestion de projet; Normes ISO; Formation,80%,20%,60%,80%,20%,True,www.marchespublics.gov.ma
AO-2025-7210,Travaux de construction d'un centre de santé,48 737 107 DH,2025-07-17,Agence Nationale de la Conservation Foncière,"60, rue Léon Le Goff, Nador",+33 2 45 39 67 77,+33 4 91 94 33 11,314 jours,119 jours,195 jours,Registre de commerce; Caution provisoire; Certificat de qualification et classification; Attestation fiscale,Attestations de formation; CV des intervenants; Certificats de conformité; Planning d'exécution; Références similaires,Acte d'engagement; Bilan des 3 dernières années; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années,Fournir une caution provisoire de 2% du montant estimé; Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Justifier d'une expérience de 5 ans minimum,Master spécialisé,15 ans,Management d'équipe; Normes ISO; Formation; Expertise sectorielle,Diplôme d'ingénieur,17 ans,Gestion de projet; Audit technique; Normes ISO; Analyse technique; Expertise sectorielle,MBA,13 ans,Expertise sectorielle; Management d'équipe; Analyse technique,73%,27%,60%,73%,27%,True,www.marchespublics.gov.ma
AO-2025-4921,Fourniture de mobilier de bureau,14 059 644 DH,2025-08-08,Caisse Nationale de Sécurité Sociale,"boulevard Alphonse François, Tanger",02 54 55 04 64,0142956134,69 jours,27 jours,42 jours,Caution provisoire; Procuration (si applicable); Registre de commerce,Planning d'exécution; CV des intervenants; Références similaires; Certificats de conformité; Attestations de formation,Acte d'engagement; Chiffre d'affaires des 3 dernières années; Bordereau des prix unitaires,Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Avoir un chiffre d'affaires minimum de 5M DH; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce,Doctorat,19 ans,Management d'équipe; Planification; Normes ISO; Analyse technique,Master spécialisé,15 ans,Audit technique; Expertise sectorielle; Gestion de projet; Management d'équipe; Planification,Ingénieur d'État,12 ans,Audit technique; Normes ISO; Expertise sectorielle,74%,26%,60%,74%,26%,True,www.marchespublics.gov.ma
AO-2025-2642,Fourniture de véhicules administratifs,43 573 596 DH,2025-08-11,Ministère de l'Éducation,"31, rue Juliette Boulay, Mohammedia",+33 4 66 00 92 39,03 28 42 64 06,214 jours,34 jours,180 jours,Attestation fiscale; Registre de commerce; Procuration (si applicable),Note technique détaillée; Attestations de formation; CV des intervenants; Planning d'exécution,Devis quantitatif et estimatif; Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Bilan des 3 dernières années,Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH,Diplôme d'ingénieur,13 ans,Normes ISO; Gestion de projet; Management d'équipe; Expertise sectorielle,MBA,20 ans,Expertise sectorielle; Gestion de projet; Planification; Normes ISO; Formation,Doctorat,20 ans,Normes ISO; Analyse technique; Expertise sectorielle; Audit technique; Formation,72%,28%,60%,72%,28%,True,www.marchespublics.gov.ma
AO-2025-8336,Fourniture de véhicules administratifs,44 536 828 DH,2025-07-25,Office National des Chemins de Fer,"173, rue Pineau, Fès",04 58 00 14 84,+33 (0)4 43 40 35 55,197 jours,59 jours,138 jours,Certificat de qualification et classification; Registre de commerce; Caution provisoire,Note technique détaillée; CV des intervenants; Certificats de conformité,Bordereau des prix unitaires; Chiffre d'affaires des 3 dernières années; Acte d'engagement,Être inscrit au registre de commerce; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé; Justifier d'une expérience de 5 ans minimum,Doctorat,14 ans,Normes ISO; Formation; Expertise sectorielle; Gestion de projet,Diplôme d'ingénieur,7 ans,Formation; Management d'équipe; Normes ISO; Expertise sectorielle; Contrôle qualité,Master spécialisé,8 ans,Gestion de projet; Normes ISO; Audit technique; Management d'équipe,65%,35%,60%,65%,35%,True,www.marchespublics.gov.ma
AO-2025-5691,Services de sécurité et gardiennage,30 804 404 DH,2025-08-03,Caisse Nationale de Sécurité Sociale,"760, boulevard Gabrielle Bertin, El Jadida",04 43 49 20 02,+33 (0)2 61 16 61 18,245 jours,47 jours,198 jours,Certificat de qualification et classification; Attestation fiscale; Registre de commerce,Certificats de conformité; Attestations de formation; Références similaires; Planning d'exécution; CV des intervenants,Acte d'engagement; Chiffre d'affaires des 3 dernières années; Devis quantitatif et estimatif,Être inscrit au registre de commerce; Être en règle avec les obligations fiscales; Disposer d'un personnel qualifié; Avoir un chiffre d'affaires minimum de 5M DH,Master en management,14 ans,Gestion de projet; Normes ISO; Management d'équipe,Doctorat,8 ans,Audit technique; Expertise sectorielle; Management d'équipe; Formation,Ingénieur d'État,15 ans,Gestion de projet; Formation; Contrôle qualité,62%,38%,60%,62%,38%,True,www.marchespublics.gov.ma
AO-2025-3962,Travaux de rénovation de bâtiments,35 915 270 DH,2025-08-01,Barid Al-Maghrib,"58, chemin Daniel, Oujda",01 69 52 06 53,+33 (0)6 27 64 32 30,319 jours,66 jours,253 jours,Caution provisoire; Attestation fiscale; Attestation CNSS; Procuration (si applicable),Certificats de conformité; Attestations de formation; Note technique détaillée; Références similaires,Devis quantitatif et estimatif; Bordereau des prix unitaires; Attestation bancaire; Bilan des 3 dernières années,Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Être inscrit au registre de commerce; Disposer d'un personnel qualifié,Master spécialisé,15 ans,Audit technique; Management d'équipe; Expertise sectorielle; Contrôle qualité,Master en management,14 ans,Gestion de projet; Audit technique; Expertise sectorielle; Normes ISO,Doctorat,16 ans,Formation; Expertise sectorielle; Management d'équipe,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-8658,Étude technique pour l'aménagement urbain,10 156 375 DH,2025-07-31,Barid Al-Maghrib,"chemin Nicolas Coste, Rabat",04 56 83 38 63,+33 6 11 72 36 83,296 jours,106 jours,190 jours,Registre de commerce; Attestation fiscale; Caution provisoire; Attestation CNSS,Attestations de formation; Note technique détaillée; CV des intervenants; Références similaires,Bordereau des prix unitaires; Attestation bancaire; Acte d'engagement,Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH,MBA,15 ans,Audit technique; Expertise sectorielle; Planification; Analyse technique; Contrôle qualité,Doctorat,11 ans,Management d'équipe; Planification; Formation; Gestion de projet,Master spécialisé,8 ans,Normes ISO; Expertise sectorielle; Formation; Audit technique; Management d'équipe,69%,31%,60%,69%,31%,True,www.marchespublics.gov.ma
AO-2025-3543,Fourniture de produits pharmaceutiques,47 349 863 DH,2025-08-06,Ministère de la Santé,"50, rue Marcelle Jourdan, Tanger",+33 3 89 26 41 30,+33 5 36 14 80 50,123 jours,37 jours,86 jours,Attestation CNSS; Caution provisoire; Registre de commerce; Procuration (si applicable),CV des intervenants; Planning d'exécution; Références similaires; Attestations de formation; Note technique détaillée,Attestation bancaire; Acte d'engagement; Chiffre d'affaires des 3 dernières années,Être en règle avec les obligations fiscales; Justifier d'une expérience de 5 ans minimum; Être inscrit au registre de commerce; Disposer d'un personnel qualifié; Fournir une caution provisoire de 2% du montant estimé,Ingénieur d'État,18 ans,Gestion de projet; Formation; Analyse technique; Planification,Doctorat,14 ans,Normes ISO; Management d'équipe; Contrôle qualité; Formation,Master en management,7 ans,Management d'équipe; Gestion de projet; Audit technique,79%,21%,60%,79%,21%,True,www.marchespublics.gov.ma
AO-2025-9734,Services de sécurité et gardiennage,24 861 737 DH,2025-07-17,Ministère de l'Éducation,"3, chemin de Chauvet, Rabat",+33 2 35 76 61 06,+33 (0)4 42 53 95 75,352 jours,127 jours,225 jours,Procuration (si applicable); Attestation fiscale; Caution provisoire,Attestations de formation; Note technique détaillée; Certificats de conformité; Planning d'exécution,Bilan des 3 dernières années; Chiffre d'affaires des 3 dernières années; Attestation bancaire,Être inscrit au registre de commerce; Fournir une caution provisoire de 2% du montant estimé; Être en règle avec les obligations fiscales; Avoir un chiffre d'affaires minimum de 5M DH; Disposer d'un personnel qualifié,MBA,5 ans,Audit technique; Planification; Contrôle qualité; Analyse technique,MBA,14 ans,Contrôle qualité; Formation; Normes ISO; Management d'équipe; Gestion de projet,MBA,5 ans,Audit technique; Management d'équipe; Expertise sectorielle; Analyse technique,71%,29%,60%,71%,29%,True,www.marchespublics.gov.ma
